path	git_blob	sha256	provenance	review_status	finding
.editorconfig	ebf080161d328b9789b4749ac176333c0e2874bd	db0b5524e350c72589086a3e1f429f78873dbc164ea32e25effb370a973ccc5e	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
.env.release.example	eb70a6f52f6c68e51c973fef14bdd5114c977666	db5b0451fb544b1082ac1d5e77c46d32c85b95465655aad1c205d06363e6d6d7	TERMINAL_DELTA_1A14581_REREVIEWED	FIXED	RC5-AUD-01{state=FIXED;commits=8181b7835d8fd38b01913ed0accc9e1b85a20276;red=docs/rc5-final-incremental-audit.md#rc5-aud-01;green=docs/rc5-final-incremental-audit.md#rc5-aud-01;permanent_tests=backend/src/config/__tests__/production.test.ts+backend/src/middlewares/__tests__/csrfProtection.test.ts+scripts/test-preflight.sh+frontend/e2e/security-contracts.spec.ts;residual_local_risk=NONE}
.github/dependabot.yml	85fa58e395861cfd34db72b6ab9010e72541c7f6	16474409ad3b3879b69103e282044c4e8a1c70688a1efa5661828aae6116e271	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
.github/workflows/ci.yml	2cb5e29324690bcad157ef649600e7e0cf160433	f9eae8dfb124776858ff3929711dbed4485afceaf47a314f41f801095b29a900	MODIFIED_SINCE_29DB4D1	REVIEWED_INCREMENTAL	-
.github/workflows/release.yml	3a49fbb63157299d5b8fdc22a9e6502a1d6f37f9	0a85b3c4d45a6f7d98a05e6d7da7f0ae135c8ffa76c0d56919727fb802f5b9b2	MODIFIED_SINCE_29DB4D1	REVIEWED_INCREMENTAL	-
.gitignore	848648a6c55956f9e55d0bbcf8d3b546f84947dc	a0b95a5eb107930b3a1b1bef26ba782b9723bc5a90a6c72b45609d0d885bccfb	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
.nvmrc	ca5c350055ccb6dacb495a786f60c8232abed8f2	55075b5ec4e8b31936cbbc282b8829116d1fd48f2f2f1856dee592a6650700ce	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
.prettierignore	ebe37e7196d6c9a6c1b7152eedd6f97b650aa61b	e044064304142d3d5e2f87ad7ae95272ccdcbfa39f70da6321f9137ece5cb319	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
.prettierrc.json	c8481ad24a5b7f51da444cd01e649fc55aa7a7c6	0d32d6bdfe7d83623341aef73f69f73bc315baf5bffe29d314ed8f81ee082a42	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
ARCHITECTURE.md	b113909e098443baa8ab02c29fea392b3245daef	61fcf6c045a7f484d4a0c807f5e3a191a507c2a2dc7ff35533de9e2f8a5f135d	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
CONTRIBUTING.md	38b4d64a38b8abb36ac22802b9d43bf4c25c11d3	a9bdd8460688fba857b8f51dc9d5b631a08defd3fd08bead68caafaf0ed56e0f	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
Caddyfile	7188973bac99a8867b4b1416a23915af4cad51ac	56d9e3ea71c5646c32f10c2e3ecea6b522037fb6146ea68c6028d3ee38927fa2	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
INCIDENT_LIFECYCLE.md	3a87217f928c7ec02974d3978b0a83c4ece23c93	10b09c512654ebed86c6ecc09e8cd5c4059e9aca6e2e3f4d010fd6fe3ef4d471	MODIFIED_SINCE_29DB4D1	REVIEWED_INCREMENTAL	-
LICENSE	4f3ac6d15e6685bbda661b90a91b1221e9debfc1	30e66a0b026148d4c84d740000f1108259e3e7fd6036ef18f9e4a623bef9a80f	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
README.md	4383401fa9099c3963f9a881b31493a47581ff44	ae7d9446d08334a48769cb206d597e1b966373e90a34b1fcd4bc1335b8fb71ac	MODIFIED_SINCE_29DB4D1	REVIEWED_INCREMENTAL	-
SECURITY.md	4927a5a5183a7565e5bed25d44d6cd399e7bd746	42647b4d4cb324da7b3de49f71aa1dbdc4c10761bd54f352a674bed7b9614577	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/.dockerignore	d3e5db67641c0f93a3899cc57f1b3cc124b1b0ef	ddad383a6fe25908c113445523a2ebc291406e288ddecaf75ee23b7e5ad5e3d1	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/.env.example	eb971df0aefa5af14eb12846cc4b074cb9d0d329	031f245c60605d4eb5b6cb8e7daf3817f91c078fede6a053b04a56c326e32608	TERMINAL_DELTA_1A14581_REREVIEWED	FIXED	RC5-AUD-01{state=FIXED;commits=8181b7835d8fd38b01913ed0accc9e1b85a20276;red=docs/rc5-final-incremental-audit.md#rc5-aud-01;green=docs/rc5-final-incremental-audit.md#rc5-aud-01;permanent_tests=backend/src/config/__tests__/production.test.ts+backend/src/middlewares/__tests__/csrfProtection.test.ts+scripts/test-preflight.sh+frontend/e2e/security-contracts.spec.ts;residual_local_risk=NONE}
backend/Dockerfile	a8529797da4f4f6c3941a3ef9d8879cea5e4b6b8	a1d30a255ca746bde131a4c0932d3fe4775c30ee4a94def99c31686c6fe49811	MODIFIED_SINCE_29DB4D1	REVIEWED_INCREMENTAL	-
backend/docs/support-knowledge.md	bfaa0bd8d166da0523a1b8639c24b5658329dfda	64493b5bcb98aa440caa8d406389e04b2556ef03a189ef218e88564533f3da41	MODIFIED_SINCE_29DB4D1	REVIEWED_INCREMENTAL	-
backend/eslint.config.cjs	96ea5d3338031f335a904da65c525e127555d74d	5cc522c4a5666b54fe7657e5e89ead0c7f59e9314f239be2f75ac76e6620e34e	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/jest.config.ts	673551318f4a4ecd1780cc0666d23bbed009125b	8084f10568c88a3bed1004eee77f8b8ab981fbde5327a752f9add72ef36e507e	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/001_create_admin_accounts.sql	09ff734f64a25e03f700028c381c853051c581e4	45ec5e5b8560a69521dbf4deb6a5d9c8bde8257fb874391b7aa514b3e237d3f0	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/002_create_sentinel_users.sql	0632aa33a697079365239720f0d590181b837ee7	754eb287d7205dda4f1de3b73a960e971230c550b9ec0fe13c8637e7ee3b2e87	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/003_create_account_audit_events.sql	1a2eb61b751e93d707fe751614f62ab2fa669f66	0b51600f24f36afcb2fdd56a8d68deeea17e72e65c0b90affe8a6663c0a26f1a	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/004_create_production_lines.sql	30fd4ef02cd7d7121de24899fcdaee89702d0c83	58d5f952fe97a1ad2af415876640cc2c17d43bd7ffe1d3bf7d06e65615bd7b90	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/005_add_is_active_to_production_lines.sql	435ad4958fef500aad91e746413ab94bbca4e012	ebf974245e22189bde1c6cf0ebb9454551d8a62f3776e86717dade59b11559c3	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/006_add_user_password_hash.sql	d3a2eb87da6750113d162cbef46d9fc9d828209a	4fd3d2034f55b522ac050f28b94db7ca5e58c9174f7ea4e12cb5e3bca2777184	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/007_create_workshop_incidents.sql	24b06ee86f2d3329c4c61d12ed869fcdab305519	00ec4356454459567544dceda5644ac8aa4796eda3c7be7bee8f8fe1a2db88a6	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
